Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	A - Votos (Anterior)	A - Votos (Corrente)	A - Percentagem (Anterior)	A - Percentagem (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CDS-PP - Votos (Anterior)	CDS-PP - Votos (Corrente)	CDS-PP - Percentagem (Anterior)	CDS-PP - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MAS - Votos (Anterior)	MAS - Votos (Corrente)	MAS - Percentagem (Anterior)	MAS - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PDR - Votos (Anterior)	PDR - Votos (Corrente)	PDR - Percentagem (Anterior)	PDR - Percentagem (Corrente)	PNR - Votos (Anterior)	PNR - Votos (Corrente)	PNR - Percentagem (Anterior)	PNR - Percentagem (Corrente)	PPD/PSD - Votos (Anterior)	PPD/PSD - Votos (Corrente)	PPD/PSD - Percentagem (Anterior)	PPD/PSD - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM.PPV/CDC - Votos (Anterior)	PPM.PPV/CDC - Votos (Corrente)	PPM.PPV/CDC - Percentagem (Anterior)	PPM.PPV/CDC - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	PURP - Votos (Anterior)	PURP - Votos (Corrente)	PURP - Percentagem (Anterior)	PURP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-500000	*	*	*	9344479	9273438	0.3532	0.4226	88883	30410	140779	47239	61444	0	0.0186	0.0000	0	53695	0.0000	0.0137	324157	165461	0.0982	0.0422	204245	0	0.0619	0.0000	0	382357	0.0000	0.0976	0	8498	0.0000	0.0022	28804	353689	0.0087	0.0903	59866	145160	0.0181	0.0370	6613	5021	0.0020	0.0013	0	4560	0.0000	0.0012	34418	4212	0.0104	0.0011	0	6359	0.0000	0.0016	167516	47468	0.0508	0.0121	227598	161804	0.0690	0.0413	27142	0	0.0082	0.0000	15568	0	0.0047	0.0000	15997	0	0.0048	0.0000	723232	0	0.2191	0.0000	0	1221412	0.0000	0.3117	49377	0	0.0150	0.0000	1102874	1261417	0.3341	0.3219	8560	4269	0.0026	0.0011	13534	0	0.0041	0.0000	0	6367	0.0000	0.0016	0	9270	0.0000	0.0024
LOCAL-010000	Aveiro	*	*	644717	641779	0.3381	0.3958	6457	2026	11953	3616	3002	0	0.0138	0.0000	0	4208	0.0000	0.0166	20510	9372	0.0941	0.0369	16715	0	0.0767	0.0000	0	21011	0.0000	0.0827	0	565	0.0000	0.0022	1643	22542	0.0075	0.0887	3017	7357	0.0138	0.0290	366	335	0.0017	0.0013	0	267	0.0000	0.0011	2280	228	0.0105	0.0009	0	322	0.0000	0.0013	9540	2699	0.0438	0.0106	6760	4819	0.0310	0.0190	1368	0	0.0063	0.0000	1228	0	0.0056	0.0000	893	0	0.0041	0.0000	60853	0	0.2791	0.0000	0	93896	0.0000	0.3697	2110	0	0.0097	0.0000	68014	79680	0.3120	0.3137	558	172	0.0026	0.0007	734	0	0.0034	0.0000	0	437	0.0000	0.0017	0	460	0.0000	0.0018
LOCAL-020000	Beja	*	*	123750	119354	0.3214	0.4449	957	432	1269	594	385	0	0.0097	0.0000	0	489	0.0000	0.0092	3524	2358	0.0886	0.0444	1444	0	0.0363	0.0000	0	6663	0.0000	0.1255	0	118	0.0000	0.0022	126	3018	0.0032	0.0568	440	1503	0.0111	0.0283	60	68	0.0015	0.0013	0	62	0.0000	0.0012	209	52	0.0053	0.0010	0	63	0.0000	0.0012	1181	498	0.0297	0.0094	10030	8177	0.2522	0.1540	846	0	0.0213	0.0000	104	0	0.0026	0.0000	163	0	0.0041	0.0000	3504	0	0.0881	0.0000	0	9983	0.0000	0.1880	778	0	0.0196	0.0000	14572	18811	0.3664	0.3542	61	28	0.0015	0.0005	117	0	0.0029	0.0000	0	72	0.0000	0.0014	0	115	0.0000	0.0022
LOCAL-030000	Braga	*	*	777151	780323	0.3777	0.4407	7771	2144	16550	4658	3352	0	0.0114	0.0000	0	5560	0.0000	0.0162	23931	11364	0.0815	0.0330	21723	0	0.0740	0.0000	0	28734	0.0000	0.0836	0	653	0.0000	0.0019	1913	29840	0.0065	0.0868	3777	9547	0.0129	0.0278	1224	432	0.0042	0.0013	0	314	0.0000	0.0009	2557	311	0.0087	0.0009	0	715	0.0000	0.0021	11169	3070	0.0381	0.0089	11371	7800	0.0387	0.0227	2009	0	0.0068	0.0000	1415	0	0.0048	0.0000	1047	0	0.0036	0.0000	80838	0	0.2754	0.0000	0	124433	0.0000	0.3619	2851	0	0.0097	0.0000	98321	112999	0.3350	0.3286	844	242	0.0029	0.0007	856	0	0.0029	0.0000	0	473	0.0000	0.0014	0	582	0.0000	0.0017
LOCAL-040000	Bragança	*	*	141683	133927	0.2847	0.3940	1333	542	1376	582	460	0	0.0114	0.0000	0	1026	0.0000	0.0194	2649	1178	0.0657	0.0223	2614	0	0.0648	0.0000	0	5418	0.0000	0.1027	0	111	0.0000	0.0021	175	2455	0.0043	0.0465	287	862	0.0071	0.0163	87	97	0.0022	0.0018	0	55	0.0000	0.0010	243	43	0.0060	0.0008	0	158	0.0000	0.0030	883	358	0.0219	0.0068	910	858	0.0226	0.0163	274	0	0.0068	0.0000	207	0	0.0051	0.0000	173	0	0.0043	0.0000	13926	0	0.3452	0.0000	0	21567	0.0000	0.4087	469	0	0.0116	0.0000	13999	17243	0.3470	0.3267	137	58	0.0034	0.0011	140	0	0.0035	0.0000	0	74	0.0000	0.0014	0	88	0.0000	0.0017
LOCAL-050000	Castelo Branco	*	*	170433	163321	0.3478	0.4849	2212	818	2483	1016	1094	0	0.0185	0.0000	0	1221	0.0000	0.0154	5919	3113	0.0998	0.0393	2847	0	0.0480	0.0000	0	8377	0.0000	0.1058	0	187	0.0000	0.0024	291	5142	0.0049	0.0649	759	2222	0.0128	0.0281	131	110	0.0022	0.0014	0	96	0.0000	0.0012	490	76	0.0083	0.0010	0	130	0.0000	0.0016	1876	687	0.0316	0.0087	2850	2414	0.0481	0.0305	484	0	0.0082	0.0000	266	0	0.0045	0.0000	262	0	0.0044	0.0000	12731	0	0.2148	0.0000	0	23174	0.0000	0.2926	939	0	0.0158	0.0000	23182	30044	0.3910	0.3794	175	68	0.0030	0.0009	291	0	0.0049	0.0000	0	132	0.0000	0.0017	0	170	0.0000	0.0021
LOCAL-060000	Coimbra	*	*	380328	371649	0.3393	0.4213	3325	1153	6937	2503	2812	0	0.0218	0.0000	0	2073	0.0000	0.0132	16789	7402	0.1301	0.0473	5635	0	0.0437	0.0000	0	12221	0.0000	0.0780	0	400	0.0000	0.0026	813	12710	0.0063	0.0812	2153	5871	0.0167	0.0375	265	189	0.0021	0.0012	0	117	0.0000	0.0007	1343	112	0.0104	0.0007	0	209	0.0000	0.0013	5276	1631	0.0409	0.0104	6759	5287	0.0524	0.0338	845	0	0.0065	0.0000	735	0	0.0057	0.0000	611	0	0.0047	0.0000	27310	0	0.2117	0.0000	0	47718	0.0000	0.3047	1244	0	0.0096	0.0000	45546	56370	0.3530	0.3600	206	81	0.0016	0.0005	426	0	0.0033	0.0000	0	203	0.0000	0.0013	0	339	0.0000	0.0022
LOCAL-070000	Évora	*	*	137024	133233	0.3449	0.4517	891	414	1923	765	800	0	0.0169	0.0000	0	544	0.0000	0.0090	4382	2422	0.0927	0.0402	2388	0	0.0505	0.0000	0	6146	0.0000	0.1021	0	113	0.0000	0.0019	246	4635	0.0052	0.0770	644	1984	0.0136	0.0330	57	67	0.0012	0.0011	0	69	0.0000	0.0011	305	49	0.0065	0.0008	0	94	0.0000	0.0016	1412	489	0.0299	0.0081	9572	7788	0.2025	0.1294	813	0	0.0172	0.0000	111	0	0.0023	0.0000	184	0	0.0039	0.0000	5790	0	0.1225	0.0000	0	14003	0.0000	0.2327	1036	0	0.0219	0.0000	16491	20364	0.3489	0.3384	67	28	0.0014	0.0005	150	0	0.0032	0.0000	0	69	0.0000	0.0011	0	133	0.0000	0.0022
LOCAL-080000	Faro	*	*	380546	386791	0.2692	0.4220	2518	1111	4494	1717	1785	0	0.0174	0.0000	0	2368	0.0000	0.0145	13254	8240	0.1294	0.0505	4816	0	0.0470	0.0000	0	23401	0.0000	0.1434	0	486	0.0000	0.0030	644	15123	0.0063	0.0927	1812	5973	0.0177	0.0366	221	209	0.0022	0.0013	0	201	0.0000	0.0012	1455	202	0.0142	0.0012	0	262	0.0000	0.0016	6298	2404	0.0615	0.0147	7469	6605	0.0729	0.0405	1110	0	0.0108	0.0000	502	0	0.0049	0.0000	676	0	0.0066	0.0000	17313	0	0.1690	0.0000	0	46020	0.0000	0.2820	2149	0	0.0210	0.0000	35017	48083	0.3418	0.2946	321	121	0.0031	0.0007	592	0	0.0058	0.0000	0	259	0.0000	0.0016	0	432	0.0000	0.0026
LOCAL-090000	Guarda	*	*	152077	141053	0.3304	0.4474	1953	742	2221	843	822	0	0.0164	0.0000	0	1254	0.0000	0.0199	3692	1763	0.0735	0.0279	3009	0	0.0599	0.0000	0	6427	0.0000	0.1019	0	144	0.0000	0.0023	192	3438	0.0038	0.0545	476	1334	0.0095	0.0211	98	153	0.0020	0.0024	0	80	0.0000	0.0013	293	73	0.0058	0.0012	0	158	0.0000	0.0025	1217	465	0.0242	0.0074	1592	1221	0.0317	0.0193	423	0	0.0084	0.0000	229	0	0.0046	0.0000	196	0	0.0039	0.0000	15351	0	0.3055	0.0000	0	22132	0.0000	0.3507	694	0	0.0138	0.0000	17431	22570	0.3469	0.3577	147	54	0.0029	0.0009	215	0	0.0043	0.0000	0	117	0.0000	0.0019	0	133	0.0000	0.0021
LOCAL-100000	Leiria	*	*	415762	412301	0.3415	0.4300	5116	1617	8898	2874	3013	0	0.0212	0.0000	0	3312	0.0000	0.0187	13412	6853	0.0945	0.0387	9941	0	0.0700	0.0000	0	18243	0.0000	0.1029	0	428	0.0000	0.0024	990	17196	0.0070	0.0970	2346	5992	0.0165	0.0338	297	213	0.0021	0.0012	0	301	0.0000	0.0017	1571	190	0.0111	0.0011	0	337	0.0000	0.0019	6601	1837	0.0465	0.0104	6379	4919	0.0449	0.0277	879	0	0.0062	0.0000	704	0	0.0050	0.0000	681	0	0.0048	0.0000	38886	0	0.2739	0.0000	0	64095	0.0000	0.3615	2221	0	0.0156	0.0000	39145	48029	0.2757	0.2709	338	109	0.0024	0.0006	553	0	0.0039	0.0000	0	334	0.0000	0.0019	0	414	0.0000	0.0023
LOCAL-110000	Lisboa	*	*	1919794	1915145	0.4011	0.4393	16819	5694	25272	8503	22552	0	0.0293	0.0000	0	9146	0.0000	0.0109	81240	42059	0.1055	0.0500	53779	0	0.0698	0.0000	0	85824	0.0000	0.1020	0	1753	0.0000	0.0021	9953	99445	0.0129	0.1182	21666	45342	0.0281	0.0539	1399	888	0.0018	0.0011	0	895	0.0000	0.0011	8264	756	0.0107	0.0009	0	1163	0.0000	0.0014	52310	12807	0.0679	0.0152	63371	41242	0.0823	0.0490	5907	0	0.0077	0.0000	2952	0	0.0038	0.0000	4596	0	0.0060	0.0000	126579	0	0.1644	0.0000	0	225190	0.0000	0.2676	16814	0	0.0218	0.0000	252027	256527	0.3273	0.3049	1430	523	0.0019	0.0006	3040	0	0.0039	0.0000	0	860	0.0000	0.0010	0	2746	0.0000	0.0033
LOCAL-120000	Portalegre	*	*	96727	92971	0.3219	0.4449	806	300	1224	487	415	0	0.0133	0.0000	0	425	0.0000	0.0103	2450	1272	0.0787	0.0308	1709	0	0.0549	0.0000	0	5423	0.0000	0.1311	0	61	0.0000	0.0015	119	2508	0.0038	0.0606	293	1021	0.0094	0.0247	44	50	0.0014	0.0012	0	41	0.0000	0.0010	177	29	0.0057	0.0007	0	48	0.0000	0.0012	697	295	0.0224	0.0071	3918	3121	0.1258	0.0755	425	0	0.0137	0.0000	74	0	0.0024	0.0000	180	0	0.0058	0.0000	4527	0	0.1454	0.0000	0	10577	0.0000	0.2557	721	0	0.0232	0.0000	13179	15582	0.4233	0.3767	52	25	0.0017	0.0006	125	0	0.0040	0.0000	0	44	0.0000	0.0011	0	50	0.0000	0.0012
