Key	Distrito	Municipio	Freguesia	Eleitores (2022)	Eleitores (2024)	Percentagem de Votantes (2022)	Percentagem de Votantes (2024)	Votos Nulos (2022)	Votos Nulos (2024)	Votos Brancos (2022)	Votos Brancos (2024)	A - Percentagem (2022)	A - Percentagem (2024)	A - Votos (2022)	A - Votos (2024)	ADN - Percentagem (2022)	ADN - Percentagem (2024)	ADN - Votos (2022)	ADN - Votos (2024)	B.E. - Percentagem (2022)	B.E. - Percentagem (2024)	B.E. - Votos (2022)	B.E. - Votos (2024)	CDS-PP - Percentagem (2022)	CDS-PP - Percentagem (2024)	CDS-PP - Votos (2022)	CDS-PP - Votos (2024)	CH - Percentagem (2022)	CH - Percentagem (2024)	CH - Votos (2022)	CH - Votos (2024)	E - Percentagem (2022)	E - Percentagem (2024)	E - Votos (2022)	E - Votos (2024)	IL - Percentagem (2022)	IL - Percentagem (2024)	IL - Votos (2022)	IL - Votos (2024)	JPP - Percentagem (2022)	JPP - Percentagem (2024)	JPP - Votos (2022)	JPP - Votos (2024)	L - Percentagem (2022)	L - Percentagem (2024)	L - Votos (2022)	L - Votos (2024)	MAS - Percentagem (2022)	MAS - Percentagem (2024)	MAS - Votos (2022)	MAS - Votos (2024)	MPT - Percentagem (2022)	MPT - Percentagem (2024)	MPT - Votos (2022)	MPT - Votos (2024)	MPT.A - Percentagem (2022)	MPT.A - Percentagem (2024)	MPT.A - Votos (2022)	MPT.A - Votos (2024)	NC - Percentagem (2022)	NC - Percentagem (2024)	NC - Votos (2022)	NC - Votos (2024)	ND - Percentagem (2022)	ND - Percentagem (2024)	ND - Votos (2022)	ND - Votos (2024)	PAN - Percentagem (2022)	PAN - Percentagem (2024)	PAN - Votos (2022)	PAN - Votos (2024)	PCP-PEV - Percentagem (2022)	PCP-PEV - Percentagem (2024)	PCP-PEV - Votos (2022)	PCP-PEV - Votos (2024)	PCTP/MRPP - Percentagem (2022)	PCTP/MRPP - Percentagem (2024)	PCTP/MRPP - Votos (2022)	PCTP/MRPP - Votos (2024)	PPD/PSD - Percentagem (2022)	PPD/PSD - Percentagem (2024)	PPD/PSD - Votos (2022)	PPD/PSD - Votos (2024)	PPD/PSD.CDS-PP - Percentagem (2022)	PPD/PSD.CDS-PP - Percentagem (2024)	PPD/PSD.CDS-PP - Votos (2022)	PPD/PSD.CDS-PP - Votos (2024)	PPD/PSD.CDS-PP.PPM - Percentagem (2022)	PPD/PSD.CDS-PP.PPM - Percentagem (2024)	PPD/PSD.CDS-PP.PPM - Votos (2022)	PPD/PSD.CDS-PP.PPM - Votos (2024)	PPM - Percentagem (2022)	PPM - Percentagem (2024)	PPM - Votos (2022)	PPM - Votos (2024)	PS - Percentagem (2022)	PS - Percentagem (2024)	PS - Votos (2022)	PS - Votos (2024)	PTP - Percentagem (2022)	PTP - Percentagem (2024)	PTP - Votos (2022)	PTP - Votos (2024)	R.I.R. - Percentagem (2022)	R.I.R. - Percentagem (2024)	R.I.R. - Votos (2022)	R.I.R. - Votos (2024)	VP - Percentagem (2022)	VP - Percentagem (2024)	VP - Votos (2022)	VP - Votos (2024)
LOCAL-500000	*	*	*	9298390	9271479	0.5796	0.6623	49537	67349	61762	87957	0.0004	0	1902	0	0.0019	0.0163	10001	100051	0.0446	0.0446	240272	274029	0.0161	0	86577	0	0.0715	0.1806	385573	1108797	0.0009	0.0009	4740	5730	0.0498	0.0508	268414	312064	0.002	0.003	10935	18371	0.0128	0.0326	68975	199888	0.0011	0	5986	0	0.0012	0	6429	0	0	0.0007	0	4047	0.0006	0.0003	2997	1627	0	0.0024	0	14479	0.0153	0.0193	82252	118579	0.0439	0.033	236645	202325	0.002	0.0024	10745	14751	0.2781	0	1498655	0	0.0094	0.0086	50634	52992	0.0053	0.2863	28520	1758035	0	0.0001	260	451	0.4168	0.2866	2246637	1759998	0.0006	0.0004	3239	2443	0.0042	0.0041	22556	25482	0.001	0.0018	5462	10824
LOCAL-400000	Açores	*	*	229022	230082	0.3671	0.4619	890	1070	2076	2621	0	0	0	0	0.0058	0.0078	484	829	0.0427	0.0341	3589	3622	0	0	0	0	0.0593	0.1576	4986	16744	0.0007	0.0006	55	64	0.0411	0.0271	3454	2882	0	0.002	0	213	0.0092	0.0171	773	1816	0.001	0	87	0	0.0018	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137	0.0156	1156	1654	0.0149	0.0109	1250	1160	0.0038	0	321	0	0	0	0	0	0	0	0	0	0.3392	0.3984	28520	42343	0	0	0	0	0.4284	0.2918	36025	31015	0	0	0	0	0.0024	0.0012	201	125	0.0008	0.0011	67	115
LOCAL-010000	Aveiro	*	*	642602	642086	0.5678	0.66	3521	4577	4739	7031	0	0	0	0	0.0019	0.0136	676	5753	0.0458	0.041	16708	17358	0.0246	0	8962	0	0.0564	0.1725	20562	73110	0.0006	0.0009	217	362	0.0447	0.0511	16294	21671	0.0005	0	192	0	0.0079	0.0224	2878	9510	0.0011	0	405	0	0.0014	0	504	0	0	0.0005	0	206	0	0	0	0	0	0.0025	0	1076	0.0126	0.0172	4604	7300	0.018	0.0138	6551	5850	0.0039	0.0029	1409	1215	0.3568	0	130192	0	0	0	0	0	0	0.3513	0	148861	0	0	0	0	0.3952	0.2769	144198	117348	0	0	0	0	0.005	0.0046	1815	1933	0.0012	0.0014	431	610
LOCAL-020000	Beja	*	*	120888	119102	0.5586	0.6465	639	934	767	1170	0	0	0	0	0	0.0112	0	861	0.0372	0.0441	2511	3393	0.0076	0	515	0	0.1027	0.2155	6932	16595	0.0012	0.0012	78	95	0.0206	0.0222	1388	1708	0	0	0	0	0.0073	0.0178	491	1369	0.0009	0	62	0	0.0013	0	89	0	0	0	0	0	0	0	0	0	0	0.0014	0	106	0.0088	0.0122	597	943	0.1842	0.1503	12442	11570	0.0061	0.0081	415	624	0.1594	0	10767	0	0	0	0	0	0	0.1674	0	12890	0	0	0	0	0.4373	0.317	29533	24408	0.0007	0	45	0	0.0023	0.0024	156	181	0.0015	0.0019	103	147
LOCAL-030000	Braga	*	*	776539	780163	0.6368	0.7131	3937	5277	6152	9588	0.0006	0	286	0	0	0.0179	0	9964	0.0375	0.0384	18558	21388	0.0166	0	8215	0	0.0581	0.1686	28746	93826	0.001	0.0009	494	515	0.0433	0.061	21432	33930	0.001	0.0011	481	590	0.0079	0.0232	3925	12926	0.0011	0	549	0	0.0009	0	453	0	0	0.0012	0	673	0	0.001	0	534	0	0.0047	0	2616	0.0119	0.0143	5907	7935	0.0263	0.0182	12993	10136	0	0.0034	0	1897	0.3478	0	172007	0	0	0	0	0	0	0.3316	0	184468	0	0	0	0	0.4202	0.2824	207793	157099	0.0009	0	460	0	0.0036	0.004	1767	2234	0.0007	0.0014	357	771
LOCAL-040000	Bragança	*	*	137572	134213	0.4779	0.5415	816	972	567	890	0	0	0	0	0	0.0218	0	1587	0.0209	0.0193	1371	1404	0.0208	0	1368	0	0.0855	0.1819	5619	13216	0.001	0.0015	64	109	0.016	0.0171	1049	1245	0	0	0	0	0.0035	0.01	230	727	0.0008	0	54	0	0.0014	0	91	0	0	0.0007	0	52	0	0	0	0	0	0.0043	0	316	0.006	0.0082	397	598	0.0136	0.0106	892	773	0	0	0	0	0.4028	0	26480	0	0	0	0	0	0	0.4001	0	29077	0	0	0	0	0.403	0.2964	26495	21538	0	0	0	0	0.0038	0.0023	249	169	0	0	0	0
LOCAL-050000	Castelo Branco	*	*	166269	163578	0.5758	0.6619	1148	1491	1117	1529	0	0	0	0	0.0019	0.0138	182	1491	0.0425	0.0411	4069	4451	0.0156	0	1497	0	0.0831	0.1952	7958	21131	0.0006	0.0009	59	100	0.0255	0.0273	2443	2959	0	0	0	0	0.0081	0.0201	774	2171	0.001	0	91	0	0.0016	0	154	0	0	0	0	0	0.0008	0	78	0	0	0.0029	0	315	0.0098	0.0132	935	1427	0.0291	0.0219	2784	2372	0.0033	0.0041	313	441	0.274	0	26237	0	0	0	0	0	0	0.2845	0	30803	0	0	0	0	0.4765	0.3422	45622	37052	0.0004	0	43	0	0.0025	0.0034	239	367	0	0.0016	0	168
LOCAL-060000	Coimbra	*	*	374935	371745	0.5738	0.6512	2364	2636	3120	4795	0.0015	0	322	0	0	0.01	0	2421	0.0509	0.051	10957	12334	0.0151	0	3244	0	0.0613	0.1546	13180	37412	0.0006	0.0008	120	187	0.0362	0.0396	7779	9587	0	0.0008	0	185	0.0102	0.0284	2195	6880	0.0011	0	242	0	0.0009	0	203	0	0	0.0006	0	140	0	0	0	0	0	0.0024	0	577	0.012	0.0158	2571	3835	0.0339	0.0282	7294	6816	0.0025	0	542	0	0.2915	0	62718	0	0	0	0	0	0	0.3058	0	74019	0	0	0	0	0.4523	0.3267	97310	79086	0	0	0	0	0.0033	0.003	706	730	0.0012	0.0018	255	427
LOCAL-070000	Évora	*	*	134828	133400	0.5855	0.6701	557	810	843	1251	0	0	0	0	0	0.0094	0	838	0.0333	0.0427	2628	3816	0.0114	0	896	0	0.0915	0.1996	7222	17846	0.0007	0.0009	56	81	0.0247	0.0249	1947	2227	0	0	0	0	0.0063	0.0198	496	1773	0.001	0	77	0	0.0008	0	63	0	0	0.0005	0	41	0	0	0	0	0	0.0018	0	160	0.0084	0.0111	665	991	0.1456	0.1093	11494	9771	0	0	0	0	0.2141	0	16902	0	0	0	0	0	0	0.2243	0	20049	0	0	0	0	0.4395	0.3279	34693	29309	0.0005	0	42	0	0.0033	0.0031	263	273	0.0012	0.0017	96	151
LOCAL-080000	Faro	*	*	380371	382586	0.5126	0.6174	1829	2779	2599	3407	0	0	0	0	0.0059	0.0209	1152	4926	0.0576	0.0575	11226	13579	0.0108	0	2109	0	0.123	0.2719	23988	64228	0.0011	0.0014	220	330	0.0464	0.0456	9042	10761	0	0.0026	0	611	0.0108	0.0275	2111	6501	0.0015	0	286	0	0.002	0	383	0	0	0	0	0	0	0	0	0	0	0.0033	0	782	0.0216	0.0258	4213	6098	0.0481	0.0318	9379	7518	0	0	0	0	0.2435	0	47471	0	0	0	0	0	0	0.2239	0	52885	0	0	0	0	0.3987	0.2546	77740	60123	0.0013	0	250	0	0.0039	0.0045	759	1074	0.0011	0.0025	210	591
