Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	JPP - Votos (Anterior)	JPP - Votos (Corrente)	JPP - Percentagem (Anterior)	JPP - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	MPT.A - Votos (Anterior)	MPT.A - Votos (Corrente)	MPT.A - Percentagem (Anterior)	MPT.A - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PLS - Votos (Anterior)	PLS - Votos (Corrente)	PLS - Percentagem (Anterior)	PLS - Percentagem (Corrente)	PPD/PSD.CDS-PP - Votos (Anterior)	PPD/PSD.CDS-PP - Votos (Corrente)	PPD/PSD.CDS-PP - Percentagem (Anterior)	PPD/PSD.CDS-PP - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM - Votos (Anterior)	PPM - Votos (Corrente)	PPM - Percentagem (Anterior)	PPM - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-500000	*	*	*	9271479	9265493	0.6623	0.6438	67349	58930	87957	85966	100051	78914	0.0163	0.0132	274029	119211	0.0446	0.0200	1108797	1345689	0.1806	0.2256	5730	8806	0.0009	0.0015	312064	330149	0.0508	0.0553	18371	20126	0.0030	0.0034	199888	250651	0.0326	0.0420	0	471	0.0000	0.0001	4047	0	0.0007	0.0000	1627	2771	0.0003	0.0005	14479	8217	0.0024	0.0014	118579	80850	0.0193	0.0136	202325	180943	0.0330	0.0303	14751	10858	0.0024	0.0018	0	6336	0.0000	0.0011	52992	1914913	0.0086	0.3210	1758035	36879	0.2863	0.0062	451	5296	0.0001	0.0009	1759998	1394501	0.2866	0.2338	2443	421	0.0004	0.0001	25482	13550	0.0041	0.0023	10824	10998	0.0018	0.0018
LOCAL-010000	Aveiro	*	*	642086	642044	0.6600	0.6455	4577	3944	7031	6662	5753	6974	0.0136	0.0168	17358	7015	0.0410	0.0169	73110	85760	0.1725	0.2069	362	528	0.0009	0.0013	21671	23444	0.0511	0.0566	0	0	0.0000	0.0000	9510	12805	0.0224	0.0309	0	0	0.0000	0.0000	206	0	0.0005	0.0000	0	299	0.0000	0.0007	1076	472	0.0025	0.0011	7300	5131	0.0172	0.0124	5850	4923	0.0138	0.0119	1215	1005	0.0029	0.0024	0	0	0.0000	0.0000	0	163617	0.0000	0.3948	148861	0	0.3513	0.0000	0	304	0.0000	0.0007	117348	90010	0.2769	0.2172	0	0	0.0000	0.0000	1933	933	0.0046	0.0023	610	592	0.0014	0.0014
LOCAL-020000	Beja	*	*	119102	118320	0.6465	0.6232	934	689	1170	1012	861	713	0.0112	0.0097	3393	1365	0.0441	0.0185	16595	20447	0.2155	0.2773	95	87	0.0012	0.0012	1708	1439	0.0222	0.0195	0	0	0.0000	0.0000	1369	1547	0.0178	0.0210	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	106	97	0.0014	0.0013	943	636	0.0122	0.0086	11570	10000	0.1503	0.1356	624	455	0.0081	0.0062	0	0	0.0000	0.0000	0	15407	0.0000	0.2089	12890	0	0.1674	0.0000	0	84	0.0000	0.0011	24408	19536	0.3170	0.2649	0	0	0.0000	0.0000	181	135	0.0024	0.0018	147	93	0.0019	0.0013
LOCAL-030000	Braga	*	*	780163	782367	0.7131	0.6971	5277	5930	9588	9014	9964	5329	0.0179	0.0098	21388	10029	0.0384	0.0184	93826	119917	0.1686	0.2199	515	528	0.0009	0.0010	33930	36687	0.0610	0.0673	590	307	0.0011	0.0006	12926	16615	0.0232	0.0305	0	0	0.0000	0.0000	673	0	0.0012	0.0000	534	0	0.0010	0.0000	2616	888	0.0047	0.0016	7935	5174	0.0143	0.0095	10136	9180	0.0182	0.0168	1897	0	0.0034	0.0000	0	0	0.0000	0.0000	0	197995	0.0000	0.3630	184468	0	0.3316	0.0000	0	272	0.0000	0.0005	157099	125539	0.2824	0.2302	0	0	0.0000	0.0000	2234	1279	0.0040	0.0023	771	694	0.0014	0.0013
LOCAL-040000	Bragança	*	*	134213	132768	0.5415	0.5271	972	930	890	854	1587	1071	0.0218	0.0153	1404	591	0.0193	0.0084	13216	14288	0.1819	0.2042	109	80	0.0015	0.0011	1245	1527	0.0171	0.0218	0	0	0.0000	0.0000	727	792	0.0100	0.0113	0	0	0.0000	0.0000	52	0	0.0007	0.0000	0	0	0.0000	0.0000	316	0	0.0043	0.0000	598	469	0.0082	0.0067	773	725	0.0106	0.0104	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	30611	0.0000	0.4374	29077	0	0.4001	0.0000	0	66	0.0000	0.0009	21538	17796	0.2964	0.2543	0	0	0.0000	0.0000	169	97	0.0023	0.0014	0	86	0.0000	0.0012
LOCAL-050000	Castelo Branco	*	*	163578	162574	0.6619	0.6402	1491	1356	1529	1491	1491	1872	0.0138	0.0180	4451	1715	0.0411	0.0165	21131	24313	0.1952	0.2336	100	145	0.0009	0.0014	2959	3143	0.0273	0.0302	0	0	0.0000	0.0000	2171	2652	0.0201	0.0255	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	315	0	0.0029	0.0000	1427	944	0.0132	0.0091	2372	2227	0.0219	0.0214	441	300	0.0041	0.0029	0	0	0.0000	0.0000	0	33616	0.0000	0.3230	30803	0	0.2845	0.0000	0	154	0.0000	0.0015	37052	29751	0.3422	0.2859	0	0	0.0000	0.0000	367	199	0.0034	0.0019	168	198	0.0016	0.0019
LOCAL-060000	Coimbra	*	*	371745	370773	0.6512	0.6238	2636	2396	4795	4567	2421	3752	0.0100	0.0162	12334	5027	0.0510	0.0217	37412	42527	0.1546	0.1839	187	340	0.0008	0.0015	9587	10273	0.0396	0.0444	185	154	0.0008	0.0007	6880	9392	0.0284	0.0406	0	0	0.0000	0.0000	140	0	0.0006	0.0000	0	0	0.0000	0.0000	577	245	0.0024	0.0011	3835	2828	0.0158	0.0122	6816	5796	0.0282	0.0251	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	79524	0.0000	0.3438	74019	0	0.3058	0.0000	0	235	0.0000	0.0010	79086	63348	0.3267	0.2739	0	0	0.0000	0.0000	730	474	0.0030	0.0020	427	400	0.0018	0.0017
LOCAL-070000	Évora	*	*	133400	132620	0.6701	0.6403	810	749	1251	1263	838	983	0.0094	0.0116	3816	1487	0.0427	0.0175	17846	21080	0.1996	0.2482	81	83	0.0009	0.0010	2227	2415	0.0249	0.0284	0	0	0.0000	0.0000	1773	2296	0.0198	0.0270	0	0	0.0000	0.0000	41	0	0.0005	0.0000	0	106	0.0000	0.0012	160	0	0.0018	0.0000	991	790	0.0111	0.0093	9771	8637	0.1093	0.1017	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	21070	0.0000	0.2481	20049	0	0.2243	0.0000	0	68	0.0000	0.0008	29309	23616	0.3279	0.2781	0	0	0.0000	0.0000	273	138	0.0031	0.0016	151	142	0.0017	0.0017
LOCAL-080000	Faro	*	*	382586	383944	0.6174	0.6005	2779	2024	3407	3253	4926	4182	0.0209	0.0181	13579	5724	0.0575	0.0248	64228	78168	0.2719	0.3390	330	486	0.0014	0.0021	10761	10047	0.0456	0.0436	611	262	0.0026	0.0011	6501	7735	0.0275	0.0335	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	782	423	0.0033	0.0018	6098	4161	0.0258	0.0180	7518	6170	0.0318	0.0268	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	59353	0.0000	0.2574	52885	0	0.2239	0.0000	0	332	0.0000	0.0014	60123	47293	0.2546	0.2051	0	0	0.0000	0.0000	1074	512	0.0045	0.0022	591	437	0.0025	0.0019
LOCAL-090000	Guarda	*	*	141431	139506	0.6017	0.5851	1333	1198	1163	1179	2181	1660	0.0256	0.0203	2301	1010	0.0270	0.0124	15821	17247	0.1859	0.2113	165	80	0.0019	0.0010	1913	1994	0.0225	0.0244	0	0	0.0000	0.0000	1151	1229	0.0135	0.0151	0	0	0.0000	0.0000	80	0	0.0009	0.0000	0	117	0.0000	0.0014	292	0	0.0034	0.0000	821	607	0.0096	0.0074	1332	1037	0.0157	0.0127	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	32291	0.0000	0.3956	29033	0	0.3412	0.0000	0	170	0.0000	0.0021	27133	21550	0.3188	0.2640	0	0	0.0000	0.0000	289	134	0.0034	0.0016	95	118	0.0011	0.0014
